#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
24.510789,40,3.404476
24.317507,40,3.734117
16.910789,40,3.741287
23.717507,40,3.748125
23.817507,40,3.754896
13.424561,40,3.761676
-10.364294,40,3.76846
-3.662851,40,3.775239
20.417507,40,3.781975
-25.918328,40,3.788734
12.326198,40,3.79543
21.410789,40,3.8022
-0.706069,40,3.808914
20.617507,40,3.815628
21.017507,40,3.822311
-0.462744,40,3.829212
0.186253,40,3.83621
10.626198,40,3.843142
2.707326,40,3.849979
12.424561,40,3.856854
9.826198,40,3.863673
-29.118603,40,3.87049
-1.090072,40,3.877251
9.324561,40,3.885061
20.710789,40,3.892287
23.810789,40,3.899132
-9.313275,40,3.905938
21.510789,40,3.912756
18.710789,40,3.919536
-3.039538,40,3.926321
18.310789,40,3.933046
10.824561,40,3.939835
11.926198,40,3.946701
-3.701172,40,3.953455
-0.639574,40,3.960208
12.126198,40,3.966937
21.817507,40,3.973636
24.517507,40,3.980345
23.910789,40,3.987089
-33.370831,40,3.993815
26.010789,40,4.000551
11.524561,40,4.00729
24.017507,40,4.014016
10.824561,40,4.020678
11.626198,40,4.027773
-9.925479,40,4.034741
12.524561,40,4.041601
10.024561,40,4.048359
-41.336503,40,4.055141
21.310789,40,4.061989
12.024561,40,4.068766
12.926198,40,4.075526
-6.087511,40,4.430473
22.510789,40,4.43775
21.310789,40,4.444596
11.324561,40,4.451382
12.024561,40,4.45815
24.910789,40,4.464945
-10.472071,40,4.471721
-0.348086,40,4.478447
20.417507,40,4.485177
23.010789,40,4.491918
12.226198,40,4.498633
-35.005902,40,4.505359
12.524561,40,4.512073
-57.121205,40,4.51878
6.808618,40,4.525512
23.610789,40,4.532233
23.017507,40,4.538912
10.524561,40,4.545823
-2.897625,40,4.552866
11.326198,40,4.559748
24.710789,40,4.566573
0.186253,40,4.57333
23.710789,40,4.580101
23.310789,40,4.586856
24.010789,40,4.59357
18.510789,40,4.600332
-5.046736,40,4.607095
-62.37962,40,4.613901
21.410789,40,4.620642
-13.746992,40,4.627368
13.326198,40,4.634085
23.110789,40,4.640805
23.110789,40,4.647523
22.210789,40,4.654277
12.824561,40,4.661015
11.626198,40,4.667976
12.824561,40,4.674912
12.024561,40,4.681735
13.326198,40,4.688486
19.310789,40,4.695215
-8.905635,40,4.70301
22.017507,40,4.709882
-6.226411,40,4.716589
20.310789,40,4.723319
12.524561,40,4.73003
-0.963916,40,4.736722
24.410789,40,4.743433
-58.588036,40,4.750144
-7.079867,40,4.756852
-32.814867,40,4.763625
18.610789,40,4.770373
13.126198,40,5.096393
-23.043623,40,5.103674
12.326198,40,5.110561
-1.669731,40,5.117405
11.524561,40,5.124256
20.917507,40,5.131148
23.217507,40,5.138153
12.326198,40,5.145114
11.726198,40,5.152073
-4.160923,40,5.159027
18.417507,40,5.165818
-0.034612,40,5.172605
6.817495,40,5.179404
-8.154301,40,5.186212
12.126198,40,5.193659
24.310789,40,5.200569
8.524561,40,5.207367
10.624561,40,5.21445
21.710789,40,5.221424
12.326198,40,5.228256
-2.41849,40,5.234957
21.210789,40,5.241722
-56.134406,40,5.248442
-1.393835,40,5.255173
12.626198,40,5.261889
4.107193,40,5.268586
-26.059948,40,5.275288
-9.847048,40,5.28198
-15.727179,40,5.288646
-23.701811,40,5.295295
-0.280922,40,5.301983
11.824561,40,5.30927
-20.375312,40,5.316142
19.010789,40,5.32289
12.226198,40,5.329603
20.717507,40,5.336422
11.924561,40,5.343389
11.824561,40,5.350222
11.324561,40,5.356997
-1.228507,40,5.363707
-5.133974,40,5.37044
20.710789,40,5.377207
-21.741275,40,5.383955
11.124561,40,5.390697
12.326198,40,5.397389
-32.856601,40,5.404075
-0.083463,40,5.410761
18.510789,40,5.41741
18.310789,40,5.424085
-0.589429,40,5.430807
22.110789,40,5.437596
0.186253,40,5.76409
12.024561,40,5.771326
-5.212716,40,5.778238
10.724561,40,5.785006
0.624287,40,5.791729
11.824561,40,5.798496
-0.971536,40,5.805153
20.710789,40,5.811844
20.810789,40,5.818532
-2.756795,40,5.82521
11.126198,40,5.831935
1.999146,40,5.838621
22.417507,40,5.84529
-4.698747,40,5.851963
1.283344,40,5.859159
21.710789,40,5.866321
24.310789,40,5.873348
17.010789,40,5.88026
10.424561,40,5.887054
11.524561,40,5.89392
11.524561,40,5.900732
21.517507,40,5.907514
22.210789,40,5.914292
12.624561,40,5.921039
20.710789,40,5.927786
0.67571,40,5.934559
-1.349361,40,5.941324
-5.469177,40,5.948401
12.524561,40,5.955219
-32.01033,40,5.961931
11.324561,40,5.968709
23.517507,40,5.975453
10.626198,40,5.982182
-1.962505,40,5.989067
11.726198,40,5.99595
23.617507,40,6.002714
2.607193,40,6.009421
-4.301493,40,6.016194
-3.827076,40,6.022915
13.824561,40,6.02964
-4.179031,40,6.036362
10.824561,40,6.043038
-25.047265,40,6.049749
22.217507,40,6.056421
2.462609,40,6.063171
19.510789,40,6.06986
22.210789,40,6.077007
-8.309499,40,6.084081
-25.38329,40,6.091049
11.926198,40,6.097919
12.524561,40,6.104704
-72.836079,40,6.431867
23.710789,40,6.439193
13.424561,40,6.446045
26.217507,40,6.452866
-38.257722,40,6.459675
1.595918,40,6.466429
20.110789,40,6.473199
11.524561,40,6.480002
23.510789,40,6.48676
26.010789,40,6.493511
-1.585891,40,6.500267
24.517507,40,6.506979
-6.968419,40,6.513752
4.307193,40,6.52051
-25.211727,40,6.527263
-2.340964,40,6.534038
13.424561,40,6.540778
20.717507,40,6.547538
24.810789,40,6.554487
0.095213,40,6.561338
-7.780279,40,6.56817
19.910789,40,6.574902
20.210789,40,6.581653
22.810789,40,6.588398
-6.277767,40,6.595137
11.024561,40,6.601877
-28.46182,40,6.608594
10.024561,40,6.615297
-2.137373,40,6.621981
24.610789,40,6.6287
17.810789,40,6.636244
-0.129939,40,6.643444
22.910789,40,6.650444
4.24855,40,6.657269
1.106165,40,6.664053
0.208381,40,6.670821
11.326198,40,6.677579
21.710789,40,6.68432
0.186253,40,6.691072
20.810789,40,6.697784
-2.378303,40,6.704493
19.210789,40,6.711215
-0.135735,40,6.717912
-10.701571,40,6.724638
23.310789,40,6.73134
-1.946754,40,6.738053
0.326535,40,6.744767
19.610789,40,6.751481
11.524561,40,6.758228
13.126198,40,6.764948
13.926198,40,6.771909
21.017507,40,6.778719
23.310789,40,7.105986
-5.686704,40,7.113036
-59.891016,40,7.119821
10.424561,40,7.126587
21.610789,40,7.133328
-2.443711,40,7.140067
0.786253,40,7.146778
-10.885745,40,7.153562
22.817507,40,7.160247
21.810789,40,7.16691
20.110789,40,7.173621
-1.110153,40,7.180341
23.010789,40,7.187065
22.710789,40,7.193796
21.410789,40,7.200464
11.826198,40,7.207167
-0.02759,40,7.213862
24.310789,40,7.220551
25.610789,40,7.227261
23.710789,40,7.233977
3.007193,40,7.240822
11.024561,40,7.247751
-0.757192,40,7.254546
-14.531687,40,7.261337
24.517507,40,7.268145
12.324561,40,7.274942
11.724561,40,7.281694
